Фамилия	Имя	Отчество	Дата рождения	Серия и номер паспорта
Дудинов	Алексей	Тимофеевич	11.08.1968	4316 413407
Пузаков	Егор	Филиппович	10.04.1989	4525 653104
Кузькин	Федор	Константинович	28.02.1972	4322 676624
Ясевича	Анфиса	Прохор	19.08.1974	4224 833643
Мирсиянова	Серафима	Ефимовна	14.02.1968	4997 560575
Таушева	Ева	Прохоровна	05.12.1986	4681 874446
Дорохова	Антонина	Васильевна	25.08.1990	4078 305794
Жидкова	Ульяна	Данииловна	25.12.1984	4037 393919
Яшенкина	Ирина	Денисовна	26.08.1962	4264 716208
Ячевский	Давид	Дмитриевич	26.11.1972	4881 693935
Лившиц	Валерий	Евгеньевич	03.02.1983	4345 827105
Кочкорбаева	Вероника	Прокловна	24.01.1986	4172 477094
Зыкова	Алла	Адамовна	03.05.1982	4819 819751
Максимова	Татьяна	Макаровна	26.05.1974	4798 871933
Ященко	Роман	Прохорович	05.12.1976	4829 418488
Летов	Кирилл	Сергеевич	03.03.1982	4583 544770
Механтьев	Валерий	Кириллович	14.02.1992	4914 298160
Набиуллина	Любовь	Серафимовна	11.10.1967	4476 365261
Бугаев	Савва	Саввеевич	10.10.1961	4962 819762
Мигунов	Афанасий	Германович	05.06.1971	4352 707069
Кукушкин	Роман	Леонидович	15.04.1989	4513 828159
Куклина	Аполлинария	Степановна	13.09.1977	4427 143177
Цуцких	Яков	Антонович	21.09.1967	4993 795328
Колобков	Лев	Кириллович	19.01.1965	4449 897982
Винокуров	Афанасий	Феоктистович	27.01.1977	4821 348697
Маринина	Василиса	Ивановна	10.07.1983	4327 392910
Кумовьев	Захар	Даниилович	14.02.1981	4585 799319
Быстрова	Зоя	Романовна	23.05.1980	4228 593211
Зубарева	Анастасия	Аркадьевна	17.04.1971	4834 910253
Соболева	Юлиана	Порфнрьевна	27.11.1980	4121 703433
Терехова	Александра	Феоктистовна	12.10.1995	4113 244005
Каретников	Степан	Феоктистович	13.12.1995	4437 718209
Эзрина	Рада	Степановна	22.01.1996	4519 876777
Ревякина	Карина	Лаврентьевна	11.01.1975	4247 574566
Смирновская	Алиса	Захаровна	04.01.1980	4858 582655
Игнатенкова	Ульяна	Антоновна	07.03.1984	4059 790897
Немцев	Адам	Арсеньевич	18.02.1965	4131 734163
Куклачёв	Денис	Максимович	20.08.1995	4189 945357
Абалихина	Валерия	Ипполитовна	17.02.1994	4651 570093
Валевач	Евгений	Валерьевич	01.07.1990	4395 252272
Марков	Тимофей	Ильич	10.10.1990	4944 842261
Беляков	Валерий	Антонрвич	07.07.1962	4189 525962
Шульц	Анна	Феодосьевна	28.11.1973	4440 467888
Ловзанский	Кирилл	Михаилович	28.04.1965	4173 472418
Тукай	Пелагея	Юлиановна	11.10.1964	4115 382921
Свалова	Евгения	Витальевна	16.04.1995	4379 866754
Каткова	Дарья	Наумовна	12.02.1986	4385 951155
Ермишин	Севастьян	Георгиевич	11.08.1961	4722 989872
Холопов	Федор	Юрьевич	14.10.1982	4322 420844
Бабанов	Тимофей	Прохорович	19.07.1983	4324 473518
Делова	Серафима	Леонидовна	20.07.1979	4693 279545
Рябец	Артем	Валентинович	17.12.1961	4284 723648
Изотов	Лаврентий	Власович	17.04.1980	4081 187300
Казанец	Ксения	Севастьяновна	14.09.1967	4560 687182
Ибрагимова	Таисия	Филипповна	22.02.1995	4976 610822
Котенко	Лидия	Давидович	03.01.1974	4870 896558
Битнера	Карина	Валерьевна	27.11.1982	4163 257768
Помелова	Галина	Никандровна	26.01.1994	4639 578063
Мятлев	Арсений	Валентинович	06.09.1960	4753 135831
Мамыкин	Василий	Семенович	14.04.1992	4382 221092
Чуринов	Феликс	Акимович	01.09.1968	4749 415926
Ященко	Анастасия	Ильиновна	04.08.1993	4134 508602
Угличинина	Ева	Прохоровна	23.05.1963	4045 953244
Хлебова	Анжела	Никифоровна	21.07.1966	4024 742667
Борхес	Арсений	Прокопьевич	15.01.1977	4079 911497
Верица	Клара	Антоновна	18.04.1962	4884 722792
Янин	Максим	Кириллович	19.10.1993	4589 388852
Щербаков	Герман	Власович	18.12.1965	4936 143266
Чемерис	Макар	Васильевич	25.07.1986	4378 470055
Пережогин	Валентин	Никифорович	12.12.1993	4429 405448
Лисицын	Георгий	Тимофеевич	08.11.1982	4920 419471
Эфирова	Людмила	Игнатевна	26.02.1976	4180 575054
Дубков	Леонтий	Ефимович	01.11.1993	4020 580778
Овечкин	Егор	Георгиевич	09.05.1983	4372 283907
Крак	Серафим	Ильич	16.09.1965	4961 707753
Канунников	Феликс	Никифорович	13.01.1970	4421 571156
Дворников	Прохор	Константинович	06.09.1973	4869 273887
Столяров	Петр	Всеволодович	18.06.1993	4697 194551
Борисов	Никита	Павлович	27.06.1963	4923 516727
Дагин	Артем	Антонович	20.03.1973	4398 638549
Щеткин	Семен	Трофимович	14.04.1991	4062 536158
Сиянских	Лаврентий	Федотович	03.02.1976	4360 996308
Эскина	Клара	Павловна	25.07.1967	4347 948586
Шурупов	Валерий	Леонидович	25.04.1966	4449 892862
Рудавина	Пелагея	Степановна	23.06.1979	4870 261552
Нусинова	Анастасия	Даниловна	19.01.1968	4724 744635
Скрябина	Нонна	Семеновна	05.07.1994	4524 656453
Рогов	Никифор	Степанович	08.11.1994	4473 326513
Каблукова	Аполлинария	Герасимовна	12.06.1969	4662 152843
Костюк	Александр	Кириллович	09.07.1982	4326 270387
Опринчук	Аркадий	Львович	01.03.1986	4556 674161
Царицын	Давид	Всеволодович	07.05.1983	4929 188395
Котова	Лариса	Лаврентьевна	24.10.1960	4857 268323
Муратова	Екатерина	Григориевна	24.06.1990	4239 332757
Михайличенко	Петр	Филиппович	09.03.1984	4861 495232
Галдина	Серафима	Ефимовна	02.01.1984	4580 511257
Гершельмана	Пелагея	Максимовна	06.01.1970	4896 963042
Можаева	Анна	Венедиктовна	15.10.1967	4830 405950
Хабалов	Гавриил	Валерьевич	20.01.1966	4296 831176
Бурдакова	Анастасия	Юрьевна	16.05.1970	4695 841860
Гусев	Петр	Елизарович	26.07.1960	4973 411399
Косицкая	Алла	Панкратовна	13.10.1986	4634 853388
Невский	Иван	Кириллович	09.11.1992	4720 224053
Нырцев	Григорий	Яковлевич	01.02.1967	4281 950945
Халипов	Павел	Филиппович	01.05.1993	4330 845329
Жиганова	Марьямна	Захаровна	21.06.1989	4494 546257
Лагранский	Валентин	Трофимович	12.08.1972	4875 333689
Прокашева	Валерия	Акимовна	01.06.1990	4432 844632
Ижутина	Анфиса	Степановна	24.10.1995	4725 485312
Ли	Иван	Евгеньевич	22.11.1994	4012 668285
Розенбаха	Марфа	Якововна	06.01.1965	4018 173060
Маслака	Алина	Наумовна	03.08.1977	4995 585855
Логутенко	Александра	Ильиновна	04.09.1976	4788 101860
Кощеев	Феликс	Елизарович	19.11.1976	4772 952170
Березовская	Оксана	Григориевна	14.06.1978	4088 408126
Ванзин	Вениамин	Иванович	20.01.1966	4393 939342
Рожков	Трофим	Максимович	17.09.1962	4737 482460
Яранова	Валентина	Севастьяновна	26.10.1962	4867 787643
Фастер	Павел	Всеволодович	15.10.1961	4738 455692
Усилов	Константин	Вячеславович	06.09.1976	4529 704924
Веселовская	Аполлинария	Алексеевна	17.07.1972	4082 960315
Долженко	Ефим	Константинович	26.07.1990	4179 756595
Рюрикова	Наталия	Викторовна	02.03.1974	4967 733486
Шкуратов	Игнат	Антонович	16.09.1993	4630 556891
Щеголихин	Макар	Яковлевич	05.05.1984	4613 147143
Ожогина	Галина	Егоровна	11.12.1992	4792 711154
Суворин	Гавриил	Савванович	09.11.1961	4628 796304
Якушин	Аркадий	Яковлевич	18.03.1961	4710 994171
Канаш	Полина	Кузьминовна	17.07.1977	4010 438772
Остроумов	Константин	Васильевич	12.11.1963	4838 748001
Ерастова	Аполлинария	Григорьевна	12.04.1980	4235 547588
Васильевых	Илья	Константинович	08.01.1988	4716 394491
Ярославов	Арсений	Петрович	08.10.1982	4836 622634
Шеляпин	Алексей	Власович	16.05.1963	4759 295082
Бессуднова	Полина	Лукьяновна	06.08.1986	4319 303718
Караулина	Таисия	Ильиновна	04.09.1960	4282 964455
Якунов	Федор	Даниилович	14.11.1976	4225 518130
Катрановская	Клавдия	Филипповна	22.03.1988	4054 302559
Карташёв	Павел	Сергеевич	12.08.1983	4278 238458
Капитанчук	Афанасий	Евгеньевич	16.09.1970	4356 117633
Рощин	Леонтий	Витальевич	25.06.1974	4947 168174
Ясенков	Гавриил	Германович	13.12.1982	4133 829577
Ябловская	Нина	Вениаминовна	22.01.1977	4485 149530
Хуртин	Сергей	Ефимович	13.02.1990	4574 926897
Каде	Антон	Павлович	09.02.1988	4069 712010
Иньков	Евгений	Феодосивич	08.01.1976	4566 153780
Рейслер	Маргарита	Себастьяновна	11.02.1984	4581 565823
Сереброва	Ярослава	Ивановна	15.10.1976	4879 204368
Пугин	Лаврентий	Семенович	15.06.1965	4547 363622
Полынов	Никита	Иннокентиевич	04.06.1962	4731 223842
Жаркин	Леонтий	Федорович	01.03.1975	4277 105129
Сай	Александр	Васильевич	24.09.1967	4133 551851
Ханилова	Полина	Федоровна	28.12.1985	4165 440782
Бычков	Макар	Васильевич	06.01.1971	4026 180708
Шалимов	Игнатий	Константинович	09.01.1996	4968 228106
Бабикова	Лана	Викторовна	01.03.1993	4427 610097
Кораблёв	Василий	Порфирьевич	06.03.1974	4149 666005
Яхимовича	Марфа	Феодосьевна	14.07.1981	4314 206257
Пушной	Юрий	Максимович	11.04.1983	4067 201382
Попов	Лаврентий	Артемович	03.03.1990	4834 631385
Беломестнова	Галина	Фадеевна	23.12.1995	4592 749116
Ивашев	Макар	Константинович	07.11.1973	4655 721687
Пищикова	Клавдия	Акимовна	05.02.1983	4866 214759
Толкачев	Василий	Степанович	17.03.1995	4340 546154
Шамова	Римма	Феоктистовна	28.07.1961	4291 768270
Осминин	Ефим	Николаевич	04.03.1962	4963 149079
Эльмпта	Мария	Якововна	11.08.1975	4377 502471
Лапин	Петр	Алексеевич	12.11.1988	4398 792180
Шатохина	Ирина	Николаевна	14.08.1979	4135 672310
Палюлин	Максим	Артемович	25.12.1985	4422 258676
Мамыкина	Марьямна	Ефимовна	22.12.1971	4324 858554
Суханов	Максим	Трофимович	24.01.1993	4493 482391
Ельченко	Марина	Марковна	17.09.1984	4437 400715
Крака	Альбина	Захаровна	01.07.1970	4070 641731
Карявина	Настасья	Юлиановна	04.11.1983	4342 973862
Набутова	Аполлинария	Геннадьевна	02.07.1960	4983 774010
Бухало	Савва	Артемович	06.05.1968	4323 679716
Варенникова	Вероника	Акимовна	09.12.1973	4133 237704
Хованский	Филипп	Ефимович	18.05.1982	4032 390782
Ястржембская	Ульяна	Власовна	13.07.1971	4980 501116
Верясова	Таисия	Данииловна	04.01.1960	4330 178884
Аспидов	Вячеслав	Маркович	03.10.1991	4289 387142
Якшибаева	Людмила	Лукьяновна	15.12.1968	4213 591071
Ковалевский	Савва	Никифорович	17.10.1972	4674 676442
Колвецкий	Петр	Евгениевич	08.03.1988	4889 202053
Заболотная	Анна	Николаевна	24.06.1973	4019 970376
Меншиков	Аркадий	Серафимович	07.05.1985	4861 718574
Шевелёк	Леонтий	Арсеньевич	19.11.1965	4464 149124
Гнездилова	Дарья	Антоновна	08.06.1962	4674 923997
Шангин	Феликс	Федорович	10.06.1989	4735 971667
Собчак	Сюзанна	Кирилловна	11.09.1965	4410 238949
Ануфриев	Павел	Яковлевич	05.01.1984	4880 515387
Яйцева	Серафима	Валентиновна	13.06.1994	4524 369405
Квитко	Екатерина	Ефимовна	23.08.1988	4596 930006
Чемоданов	Валентин	Прокльев	18.08.1969	4172 615802
Сеченова	Ника	Юлиановна	09.12.1965	4036 274778
Шерков	Валентин	Витальевич	14.11.1960	4298 314555
Уржумцева	Татьяна	Павловна	20.11.1986	4478 149360
Шипицына	Антонина	Давидович	22.04.1965	4642 560578
Чичеринова	Аполлинария	Давидовна	16.08.1972	4955 650403
Королева	Ксения	Фадеевна	20.07.1993	4170 214031
Яркина	Рада	Трофимовна	18.02.1964	4312 196488
Бузыцков	Семен	Макарович	03.04.1962	4836 415960
Мирзoян	Тимофей	Юрьевич	17.12.1976	4512 138532
Толбоев	Антон	Игнатьевич	06.02.1987	4236 827520
Янсона	Катерина	Давидовна	07.03.1966	4550 289444
Перминова	Клавдия	Адамовна	03.10.1965	4560 737643
Скоробогатова	Алина	Емельяновна	28.11.1964	4120 830109
Дуров	Кирилл	Егорович	15.05.1995	4112 942713
Пищальникова	Ксения	Трофимовна	06.03.1984	4326 375257
Яковлева	Зоя	Романовна	08.10.1978	4039 830063
Криштофич	Савва	Гаврннлович	10.02.1968	4955 903211
Сукачёв	Антон	Семенович	21.04.1968	4323 860767
Колобкова	Анфиса	Саввановна	01.01.1973	4228 367628
Дюженков	Степан	Антонович	28.02.1979	4779 262577
Богрова	София	Антоновна	24.01.1966	4191 561637
Щербатых	Трофим	Михаилович	06.10.1988	4969 826826
Созонтова	Галина	Васильевна	20.01.1966	4515 754875
Балахнова	Александра	Тарасовна	11.11.1971	4620 280145
Мурогова	Евгения	Михаиловна	17.11.1968	4353 522422
Путинцева	Евгения	Никитьевна	22.02.1989	4079 706414
Менде	Афанасий	Ильич	07.01.1965	4221 791666
Криштофич	Семен	Александрович	20.11.1986	4370 806940
Виноградов	Леонид	Леонтьевич	13.10.1965	4027 631636
Крамник	Семен	Саввеевич	14.10.1969	4215 698522
Ящин	Константин	Давидович	23.04.1984	4534 740924
Белибердиев	Никита	Валерьевич	19.11.1980	4664 869161
Гордеева	Ева	Федотовна	04.05.1992	4571 882875
Кошкин	Трофим	Аркадьевич	23.08.1975	4948 643735
Клюев	Яков	Даниилович	26.10.1993	4855 870992
Михеева	Лидия	Тимофеевна	07.07.1963	4983 466510
Живенкова	Анастасия	Ефимовна	27.01.1967	4161 306356
Якубов	Яков	Ильич	11.09.1988	4690 860720
Покровский	Аркадий	Серафимович	09.03.1967	4520 909064
Глебов	Яков	Никитьевич	04.09.1994	4788 808129
Крылов	Семен	Петрович	02.05.1971	4550 990569
Мигунов	Ефим	Ефимович	23.01.1995	4067 972106
Юханцев	Прохор	Афанасьевич	13.09.1962	4479 272078
Бочаров	Данила	Маркович	05.03.1960	4919 827716
Хренов	Иван	Тимофеевич	19.05.1995	4233 337965
Полтанов	Василий	Леонтьевич	01.06.1989	4010 791509
Ложкин	Егор	Антонович	21.03.1963	4755 908857
Никитаев	Антон	Федорович	12.06.1982	4137 982674
Сапожникова	Елизавета	Артемова	10.12.1995	4929 714531
Собакова	Таисия	Павловна	06.05.1968	4637 172832
Ожегова	Кира	Акимовна	13.05.1964	4426 548852
Васютина	Афанасия	Викторовна	25.05.1965	4222 393814
Иванцов	Александр	Валерьевич	14.04.1962	4139 362158
Анисимова	Раиса	Трофимовна	18.09.1972	4286 291767
Бугакова	Альбина	Вячеславовна	08.01.1982	4035 673506
Юферев	Петр	Кириллович	06.08.1967	4664 507798
Щитта	Валерия	Якововна	19.07.1981	4696 926529
Хейчеев	Никифор	Юрьевич	09.12.1994	4735 423271
Абоимов	Кирилл	Васильевич	10.11.1978	4750 887366
Садкова	Карина	Георгьевна	13.05.1962	4030 283138
Илюшина	Галина	Васильевна	05.12.1980	4697 265750
Шиловский	Михаил	Леонидович	12.01.1974	4460 419548
Казанец	Марина	Ираклиевна	28.06.1982	4018 844697
Лопатин	Василий	Павлович	08.06.1990	4782 276708
Собчак	Александр	Александрович	01.01.1995	4619 955030
Карпюк	Ефим	Максимович	17.07.1964	4190 775212
Потрепалов	Феликс	Прохорович	26.10.1983	4078 378484
Семенов	Василий	Георгиевич	27.08.1968	4092 144698
Белочкина	Жанна	Арсеньевна	28.08.1989	4288 739808
Образцова	Кира	Марковна	13.05.1985	4712 872606
Курчатов	Никита	Саввеевич	27.11.1991	4440 494728
Суружу	Никита	Георгиевич	09.02.1968	4285 640032
Авдиенко	Юлиан	Леонидович	23.04.1996	4318 189256
Уржумцев	Филипп	Сергеевич	02.12.1973	4164 719411
Пушкарёва	Катерина	Павловна	21.06.1962	4669 488502
Яворская	Ярослава	Валентиновна	10.08.1963	4963 716087
Зимина	Татьяна	Нифонтовна	10.11.1972	4845 541362
Дешевых	Валентина	Георгьевна	24.02.1961	4432 904787
Шабанов	Степан	Саввеевич	28.12.1992	4557 402212
Астрединова	Марина	Юрьевна	01.01.1980	4635 941861
Голумбовский	Юрий	Петрович	03.09.1972	4270 843239
Салагина	Анастасия	Данииловна	12.04.1980	4215 290713
Новикова	Алина	Данииловна	08.09.1995	4315 668916
Оскорбин	Герасим	Маркович	11.03.1985	4148 550352
Бруевича	Ева	Себастьяновна	06.03.1969	4947 680976
Жичкина	Марианна	Валентиновна	03.03.1962	4559 787408
Лапухова	Клавдия	Викторовна	08.02.1982	4453 133008
Тимиряев	Василий	Никифорович	25.08.1989	4535 366540
Борзилов	Иннокентий	Евгениевич	26.04.1962	4756 340028
Евремович	Светлана	Сергеевна	19.01.1993	4012 303774
Кондратьева	Алена	Якововна	12.05.1975	4734 456093
Коновалова	Зинаида	Тимофеевна	26.11.1983	4774 489308
Чернов	Валентин	Иванович	15.04.1974	4736 856613
Ярмольника	Арина	Валентиновна	16.01.1967	4689 365461
Шурупова	Марина	Захаровна	24.04.1985	4361 393094
Сухих	Аполлинария	Ивановна	09.01.1983	4085 954177
Караваева	София	Макаровна	04.05.1970	4519 624239
Яшагин	Игнат	Кузьмич	19.10.1996	4761 729176
Кулагинский	Геннадий	Прокльев	21.02.1990	4720 859225
Ясин	Григорий	Михаилович	22.11.1972	4129 517991
Кудрявцева	Елизавета	Герасимовна	10.01.1991	4356 299209
Бармыкин	Никита	Прохорович	12.11.1985	4667 423677
